GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus,TwoplusOther,TwominusOther_Threeplus
06037113427,2360,643,325,4,327,0,873,188,80,108
06037113428,4222,2484,12,0,528,0,770,428,276,152
06037115101,4678,2660,29,9,723,0,650,607,311,296
06037115103,2725,1322,228,5,580,3,310,277,115,162
06037115104,4327,1549,770,86,1067,0,512,343,261,82
06037115202,6010,2099,274,16,945,60,1863,753,564,189
06037115203,2236,846,79,21,303,0,682,305,305,0
06037115204,3806,1510,583,0,626,0,721,366,158,208
06037115301,4511,1937,114,0,1347,0,625,488,241,247
06037115302,3912,703,170,222,374,0,2151,292,232,60
06037115401,5847,2354,276,0,1043,0,1798,376,278,98
06037115403,3477,611,182,0,453,0,1880,351,153,198
06037115404,2830,835,184,0,576,0,925,310,118,192
06037117101,5252,1743,682,0,1409,0,924,494,297,197
06037117102,2504,1054,70,3,359,0,792,226,222,4
06037117201,4250,1012,89,29,616,0,1816,688,397,291
06037117202,2853,1057,142,40,690,0,294,630,498,132
06037117301,3632,1500,156,8,628,0,757,583,228,355
06037117302,4957,2437,408,14,1022,0,502,574,398,176
06037117303,4428,1482,299,0,663,0,1343,641,595,46
06037117404,5548,1988,377,100,676,0,1551,856,623,233
06037117405,3176,711,81,0,29,0,1744,611,601,10
06037117407,3566,417,23,54,86,0,2631,355,290,65
06037117408,2404,522,203,51,162,0,1207,259,232,27
06037117510,3807,730,246,52,254,0,1776,749,749,0
06037117520,4571,664,174,67,279,0,2596,791,698,93
06037117530,5963,1115,190,89,781,0,3113,675,582,93
06037119001,4462,1498,17,40,831,16,1045,1015,850,165
06037119003,3895,2337,13,79,270,0,454,742,653,89
06037119004,2768,1223,0,0,282,0,802,461,440,21
06037119201,4412,1393,39,153,192,0,1546,1089,1078,11
06037119202,4766,1513,10,28,399,0,2177,639,514,125
06037119310,3931,753,196,47,790,0,1652,493,423,70
06037119320,4475,693,165,37,631,0,2729,220,220,0
06037119340,3905,397,80,65,124,0,2914,325,295,30
06037119341,2750,418,95,55,567,8,1362,245,242,3
06037119342,2850,485,21,56,403,0,1598,287,241,46
06037119400,5061,2108,53,0,390,0,1909,601,577,24
06037119700,4269,1712,18,28,1060,0,1098,353,196,157
06037119801,2556,842,13,0,207,0,1031,463,410,53
06037119802,3238,866,16,45,516,25,1074,696,663,33
06037119900,4521,1112,32,19,711,0,2195,452,408,44
06037120010,2700,286,52,0,376,0,1777,209,192,17
06037120020,4359,621,303,11,744,31,2466,183,150,33
06037120030,2614,331,11,13,130,0,2118,11,9,2
06037120103,3030,277,67,72,117,0,2285,212,146,66
06037120104,2375,315,184,22,354,0,1315,185,98,87
06037120105,2691,514,34,36,375,0,1366,366,366,0
06037120106,4443,296,40,0,954,2,2839,312,288,24
06037120107,4044,430,211,0,321,17,2645,420,390,30
06037120108,4511,949,30,57,416,0,2717,342,329,13
06037120300,5299,1404,255,0,1334,0,1917,389,234,155
06037120400,6170,2136,364,55,996,0,2141,478,376,102
06037121010,5277,2349,1,48,370,0,1731,778,736,42
06037121020,3661,1572,94,47,218,0,959,771,636,135
06037121101,3191,1228,55,28,219,0,732,929,888,41
06037121102,2271,1263,56,3,100,0,559,290,274,16
06037121210,2922,942,83,47,304,12,955,579,462,117
06037121221,2237,983,44,15,161,0,454,580,523,57
06037121222,4872,1615,206,244,84,0,1832,891,823,68
06037121600,2635,1385,7,102,819,0,225,97,27,70
06037121801,3916,968,10,31,199,0,1853,855,818,37
06037121802,3026,858,203,70,260,0,1029,606,585,21
06037121900,3314,1355,75,29,138,0,698,1019,976,43
06037122000,5034,3122,10,0,370,0,892,640,432,208
06037122120,4692,1404,144,175,87,0,1716,1166,1011,155
06037122121,2853,1019,157,13,31,0,829,804,656,148
06037122122,2507,696,127,0,62,0,618,1004,933,71
06037122200,3884,1494,13,0,107,11,1306,953,898,55
06037122410,3949,1140,108,138,251,0,1096,1216,1092,124
06037122420,5113,1312,35,77,372,0,2194,1123,1077,46
06037123010,3948,1337,58,8,56,129,1201,1159,1121,38
06037123020,2634,1194,42,0,41,0,767,590,483,107
06037123103,3917,1917,264,194,234,0,817,491,343,148
06037123104,4393,2445,198,10,170,0,1122,448,235,213
06037123203,2982,1552,105,42,20,0,769,494,459,35
06037123204,3399,1426,137,9,125,0,1246,456,436,20
06037123205,2959,1510,98,66,34,0,596,655,579,76
06037123206,2371,925,28,45,42,0,891,440,369,71
06037123301,4068,1865,186,9,898,0,624,486,303,183
06037123303,3029,1548,92,19,140,21,900,309,191,118
06037123304,4499,2598,42,159,197,0,1130,373,265,108
06037123410,3503,1865,38,0,321,0,1045,234,133,101
06037123420,4401,2625,168,18,244,0,1091,255,236,19
06037123510,4911,2794,102,22,557,0,1169,267,224,43
06037123520,2619,1409,32,63,137,0,523,455,333,122
06037123601,5145,3389,186,0,230,0,573,767,535,232
06037123602,3190,2018,302,0,129,0,465,276,93,183
06037123700,4214,2459,496,24,60,0,369,806,576,230
06037123800,5696,3864,127,32,240,0,695,738,347,391
06037123901,3986,1641,138,22,283,0,1086,816,750,66
06037123902,2668,1360,177,67,314,0,366,384,338,46
06037124000,4432,3353,186,23,293,0,96,481,118,363
06037124102,3650,1457,297,0,762,0,685,449,302,147
06037124103,1811,709,33,10,231,0,636,192,177,15
06037124104,2764,1174,184,0,45,0,907,454,265,189
06037124105,2250,926,175,8,114,0,852,175,92,83
06037124201,3837,1697,152,31,168,0,989,800,649,151
06037124203,2003,812,75,14,195,4,637,266,208,58
06037124204,2302,1128,47,15,141,0,612,359,229,130
06037124300,2964,1541,129,0,253,0,762,279,217,62
06037124400,4582,3244,48,0,118,0,315,857,715,142
06037124500,2695,1799,71,0,206,0,286,333,218,115
06037124600,2608,1965,70,0,175,0,53,345,141,204
06037124700,5409,3813,412,24,324,8,183,645,319,326
06037124902,3301,1618,283,0,509,0,392,499,286,213
06037124903,3744,1591,580,8,557,31,201,776,457,319
06037125101,3978,1862,576,56,249,0,663,572,115,457
06037125102,1948,1205,203,0,185,0,37,318,95,223
06037125200,3889,2730,294,0,163,10,386,306,75,231
06037125310,3598,1871,735,0,183,0,290,519,336,183
06037125321,2761,1972,110,17,322,0,198,142,23,119
06037125322,1981,967,123,0,175,0,237,479,246,233
06037125402,4403,2774,432,10,379,47,387,374,152,222
