OBJECTID,ain,ASI_Status,situsaddress,situscity,situszip,LV_IV_Ratio,YearBuiltMax,usecode,usetype,usedescription,Vacant_Use,Publicly_Owned,unitstotal,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,SP_LUP1,SP_LUP_Desc1,PctSpLupArea1,SP_LUP2,SP_LUP_Desc2,PctSpLupArea2,SP_LUP3,SP_LUP_Desc3,PctSpLupArea3,Acres,LUP_Units_Total,LUP_MinDens,LUP_MaxDens,Site_Status,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Lot_Size_Consolidated,Lot_Consolidation_Notes,Consolidation_Adj_APNs,Previous_HE,Shape__Area,Shape__Length
841,3073007017,Vacant,168th St E & Coolwater Ave, ,93591,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.51349478,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,22367.83203125,643.781752492679
842,3071004008,Vacant, VAC/172ND STE/MOSSDALE AVE,LANCASTER CA,93535,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.67428544,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,29371.8740234375,787.464122571058
843,3074006011,Vacant,164th St E & Starbury Ave, ,93591,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.67448757,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,29380.6787109375,787.681028561459
844,3117002026,Vacant, VAC/AVE E/VIC 40 STE,CALICHE CA,93536,0,0,580V,Irrigated Farm,Desert,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H5,100,,0,,0,,,0,,,0,,,0,9.2554904,,0,5 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,403169.162109375,2541.80271073021
845,3041016023,Vacant, VAC/AVE R14(DRT)/VIC 108TH STE,SUN VILLAGE CA,93543,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,A-1-1,92.78,,0,,0,RL1,92.78,,0,,0,,,0,,,0,,,0,0.90850662,,0,1 du / 1 gross ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,39574.5478515625,863.642338586426
846,3041008007,Vacant, VAC/AVE R12(DRT)/VIC 103RD STE,SUN VILLAGE CA,93543,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,A-1-1,97.73,,0,,0,RL1,97.73,,0,,0,,,0,,,0,,,0,0.90762893,,0,1 du / 1 gross ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,39536.31640625,863.048309761258
847,3074003026,Vacant,167th St E & Jubilee Trail Ave, ,93591,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.70920858,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,30893.126953125,809.764325703736
848,3038008008,Vacant, VAC/130 STE(DRT)/VIC AVE V11,PEARBLOSSOM CA,93553,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.65415313,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,28494.91015625,679.940384802005
849,3073016022,Vacant,162nd St E & Highacres Ave, ,93591,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.50040606,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,21797.6904296875,635.975920420828
850,3101034032,Vacant,Indigo Wy & Rimfield Dr, ,93536,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.63253019,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,27553.015625,789.107888161229
