OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1724,1,1724,534202,5342.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,BELL GARDENS,,INCORPORATED CITY,10,Gateway Planning Area,849684.8633,4221.883468
1725,1,1725,534203,5342.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,BELL GARDENS,,INCORPORATED CITY,10,Gateway Planning Area,1118499.191,5395.295066
1726,1,1726,534301,5343.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,CUDAHY,,INCORPORATED CITY,10,Gateway Planning Area,1256754.234,5273.314307
1727,1,1727,534302,5343.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,CUDAHY,,INCORPORATED CITY,10,Gateway Planning Area,899478.3906,4753.966804
1728,1,1728,534403,5344.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,CUDAHY,,INCORPORATED CITY,10,Gateway Planning Area,471516.043,3129.049536
1729,1,1729,534404,5344.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,CUDAHY,,INCORPORATED CITY,10,Gateway Planning Area,602045.4297,3565.182352
1730,1,1730,534405,5344.05,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,CUDAHY,,INCORPORATED CITY,10,Gateway Planning Area,772772.4375,3892.157451
1731,1,1731,534406,5344.06,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,CUDAHY,,INCORPORATED CITY,10,Gateway Planning Area,628466.2734,4009.492927
1732,1,1732,534501,5345.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,HUNTINGTON PARK,,INCORPORATED CITY,9,Gateway Planning Area,975516,4068.197578
1733,1,1733,534502,5345.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,HUNTINGTON PARK,,INCORPORATED CITY,10,Gateway Planning Area,825375.8828,5119.944646
1734,1,1734,534700,5347,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,,WALNUT PARK,UNINCORPORATED AREA,9,Metro Planning Area,811457.8242,3648.368584
1735,1,1735,534802,5348.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,,WALNUT PARK,UNINCORPORATED AREA,9,Metro Planning Area,588737.3828,3217.770669
1736,2,1736,534803,5348.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,,WALNUT PARK,UNINCORPORATED AREA,9,Metro Planning Area,890177.7227,5212.083124
